종목명,비고
덕양산업, MMT3 자동차부품 
서연이화, MMT3 자동차부품 
한국무브넥스, MMT3 자동차부품 
대원강업, MMT3  
동화약품, MMT3 
동진쎄미켐, MMT3 
태광, MMT3 기보유종목 세계시장점유율 1위의 산업용 관이음쇠(피팅) 제조업체
제너셈, 반도체 후공정 자동화 장비 제조업체. 반도체 수급 외국인 기관 매집 역사적 신고가 Good
포스코DX, CHW의 손잡이를 만들면 좋겠는데 아직은 아님. 거래량에 주목하자.  뚫으면 역사적 신고가. 크게 성장할 업종은 아닌데
원텍, 고주파 미용 의료기기. 수급은 외국인 기관 어떻게 개미를 꼬실까?
에스앤에스텍, 반도체 및 LCD용 블랭크 마스크 제조업체. 실적 1등급. 수급 1등급
한미반도체,
아진산업, 자동차부품. 수급 2등급. 실적 1등급. 현대 기아 90% 자동차 차체
파마리서치,화장품.원격진료. 수급2등급. 실적1등급
한화에어로스페이스, 우주항공
클래시스,수급2등급(기관-).실적1등급
폴라리스오피스, 차트공부. cwh?
하이브,285000
와이지엔터테인먼트,50일pb.10주아래.2급수(기관-)
경창산업,자동차 변속기. 현개기아. 실적주가괴리. 2급수.10주선 pb하면 고려? 3650
제룡전기,16400 10주선
화신,자동차부품. 한번더 살짝 조정하면 어때?
아이패밀리에스씨,화장품
HPSP,
하나마이크론,
현대엘리베이,
칩스엔미디어,1급수.실적1급.반도체용코덱개발사.자율주행.메타버스
넥슨게임즈,1급수.1등주.23200




