Name,GLB,GLB_P,Date
제닉,29200.0,12.96,2025-05-16
코나아이,49700.0,9.59,2025-05-16
이니텍,9910.0,9.26,2025-05-16
큐리언트,13639.0,17.98,2025-05-16
캔버스엔,6096.0,6.39,2025-05-16
마이크로컨텍솔,15650.0,14.15,2025-05-16
우주일렉트로,35650.0,16.89,2025-05-16
글로벌텍스프리,6460.0,22.35,2025-05-16
엠에스씨,8900.0,12.23,2025-05-16
대원산업,8990.0,3.69,2025-05-16
브이티,44000.0,9.59,2025-05-16
동원산업,56286.0,28.8,2025-05-16
현대지에프홀딩스,7903.0,20.66,2025-05-16
가온전선,74500.0,13.57,2025-05-16
교보증권,9250.0,26.89,2025-05-16
비츠로셀,29900.0,10.95,2025-05-16
영원무역,67900.0,27.87,2025-05-16
다우기술,29700.0,25.05,2025-05-16
쿠쿠홀딩스,28800.0,2.49,2025-05-16
LG유플러스,16200.0,25.29,2025-05-16
남양유업,80824.0,5.38,2025-05-16
휴메딕스,46450.0,13.29,2025-05-16
오리온,148100.0,20.31,2025-05-16
오리엔탈정공,6440.0,20.6,2025-05-16
대신증권,21950.0,9.97,2025-05-16
iM금융지주,10850.0,3.24,2025-05-16
SK디스커버리,55800.0,29.17,2025-05-16
STX엔진,24400.0,2.31,2025-05-16
코리안리,8550.0,0.47,2025-05-16
