종목명,종목코드,WICS,Change,H52WChange,기준봉일
뉴인텍,012340,전기제품,3.9,93.65,20260213
SFA반도체,036540,반도체와반도체장비,2.81,30.1,20260130
팜스코,036580,식품,1.25,82.24,20260205
한컴위드,054920,비철금속,3.31,94.28,20260129
티씨케이,064760,반도체와반도체장비,3.54,11.67,20260129
제우스,079370,반도체와반도체장비,4.55,24.35,20260127
인콘,083640,전자장비와기기,10.86,97.39,20260205
에스에너지,095910,에너지장비및서비스,3.46,94.38,20260126
모베이스,101330,자동차부품,0.19,49.29,20260128
하이비젼시스템,126700,핸드셋,4.32,36.15,20260210
이브이첨단소재,131400,전자장비와기기,9.84,89.33,20260126
알에스오토메이션,140670,기계,4.29,26.97,20260205
다산디엠씨,208860,자동차부품,8.1,86.28,20260204
모비스,250060,소프트웨어,5.51,39.19,20260212
노바텍,285490,핸드셋,0.38,46.67,20260129
네패스아크,330860,반도체와반도체장비,5.17,66.21,20260205
에코프로머티,450080,전기제품,2.6,72.46,20260128
아이언디바이스,464500,반도체와반도체장비,-0.29,81.3,20260130
