종목코드,종목명,Date
108490,로보티즈,2025-11-03
468530,프로티나,2025-11-03
090360,로보스타,2025-11-03
090710,휴림로봇,2025-11-03
466100,클로봇,2025-11-03
010170,대한광통신,2025-11-03
199430,케이엔알시스템,2025-11-03
298040,효성중공업,2025-11-03
278470,에이피알,2025-11-03
338840,와이바이오로직스,2025-11-03
000150,두산,2025-11-03
117730,티로보틱스,2025-11-03
215100,로보로보,2025-11-03
475830,오름테라퓨틱,2025-11-03
448900,한국피아이엠,2025-11-03
000660,SK하이닉스,2025-11-03
381620,제닉스로보틱스,2025-11-03
071970,HD현대마린엔진,2025-11-03
277810,레인보우로보틱스,2025-11-03
004800,효성,2025-11-03
287840,인투셀,2025-11-03
089010,켐트로닉스,2025-11-03
218410,RFHIC,2025-11-03
267260,HD현대일렉트릭,2025-11-03
322000,HD현대에너지솔루션,2025-11-03
017510,세명전기,2025-11-03
006800,미래에셋증권,2025-11-03
062040,산일전기,2025-11-03
101930,인화정공,2025-11-03
043260,성호전자,2025-11-03
353200,대덕전자,2025-11-03
108380,대양전기공업,2025-11-03
010120,LS ELECTRIC,2025-11-03
204270,제이앤티씨,2025-11-03
394800,쓰리빌리언,2025-11-03
252990,샘씨엔에스,2025-11-03
082740,한화엔진,2025-11-03
100790,미래에셋벤처투자,2025-11-03
103590,일진전기,2025-11-03
083450,GST,2025-11-03
001440,대한전선,2025-11-03
005930,삼성전자,2025-11-03
009540,HD한국조선해양,2025-11-03
014680,한솔케미칼,2025-11-03
058610,에스피지,2025-11-03
282720,금양그린파워,2025-11-03
322180,LS티라유텍,2025-11-03
000500,가온전선,2025-11-03
006260,LS,2025-11-03
010060,OCI홀딩스,2025-11-03
307950,현대오토에버,2025-11-03
010620,HD현대미포,2025-11-03
092200,디아이씨,2025-11-03
015860,일진홀딩스,2025-11-03
035900,JYP Ent.,2025-11-03
179900,유티아이,2025-11-03
454910,두산로보틱스,2025-11-03
085620,미래에셋생명,2025-11-03
215380,우정바이오,2025-11-03
006340,대원전선,2025-11-03
352820,하이브,2025-11-03
005380,현대차,2025-11-03
006650,대한유화,2025-11-03
011210,현대위아,2025-11-03
022100,포스코DX,2025-11-03
234080,JW생명과학,2025-11-03
486990,노타,2025-11-03
030530,원익홀딩스,2025-11-04
060230,제이케이시냅스,2025-11-04
458870,씨어스테크놀로지,2025-11-04
347850,디앤디파마텍,2025-11-04
226950,올릭스,2025-11-04
089890,코세스,2025-11-04
084370,유진테크,2025-11-04
240810,원익IPS,2025-11-04
376900,로킷헬스케어,2025-11-04
298380,에이비엘바이오,2025-11-04
294140,레몬,2025-11-04
310210,보로노이,2025-11-04
397030,에이프릴바이오,2025-11-04
161580,필옵틱스,2025-11-04
319660,피에스케이,2025-11-04
440110,파두,2025-11-04
006910,보성파워텍,2025-11-04
174900,앱클론,2025-11-04
078160,메디포스트,2025-11-04
336260,두산퓨얼셀,2025-11-04
321550,티움바이오,2025-11-04
039030,이오테크닉스,2025-11-04
049630,재영솔루텍,2025-11-04
086520,에코프로,2025-11-04
160980,싸이맥스,2025-11-04
