종목명,종목코드,WICS,Change,H52WChange,Date
SK하이닉스,000660,반도체와반도체장비,5.68,0.0,2026-02-24
제일연마,001560,비철금속,4.75,23.6,2026-02-24
KCC,002380,건축자재,2.0,5.95,2026-02-24
현대지에프홀딩스,005440,복합기업,20.19,3.75,2026-02-24
삼영전자,005680,전기제품,0.47,29.45,2026-02-24
대원산업,005710,자동차부품,-3.55,6.07,2026-02-24
넥센,005720,자동차부품,-1.37,27.49,2026-02-24
삼성전자,005930,반도체와반도체장비,3.63,0.0,2026-02-24
LS,006260,전기장비,4.24,0.18,2026-02-24
대원전선,006340,전기장비,19.67,4.69,2026-02-24
삼성전기,009150,전자장비와기기,4.57,0.67,2026-02-24
한올바이오파마,009420,제약,1.47,2.36,2026-02-24
삼정펄프,009770,가정용품,1.12,27.48,2026-02-24
LS ELECTRIC,010120,전기장비,3.32,3.62,2026-02-24
더존비즈온,012510,소프트웨어,0.17,12.65,2026-02-24
한국카본,017960,조선,1.47,2.12,2026-02-24
KPX케미칼,025000,화학,0.55,25.59,2026-02-24
SK,034730,석유와가스,3.56,1.51,2026-02-24
셀트리온,068270,제약,2.26,27.89,2026-02-24
디지털대성,068930,교육서비스,1.96,25.08,2026-02-24
덕산하이메탈,077360,반도체와반도체장비,5.63,8.39,2026-02-24
텔코웨어,078000,소프트웨어,7.48,14.99,2026-02-24
미래에셋생명,085620,생명보험,-6.27,22.95,2026-02-24
네오티스,085910,자동차부품,4.68,4.79,2026-02-24
브이엠,089970,반도체와반도체장비,19.34,0.24,2026-02-24
엑시콘,092870,반도체와반도체장비,7.12,4.06,2026-02-24
매커스,093520,반도체와반도체장비,11.5,1.08,2026-02-24
월덱스,101160,반도체와반도체장비,2.28,7.91,2026-02-24
원익머트리얼즈,104830,화학,9.79,1.93,2026-02-24
하이텍팜,106190,제약,1.0,13.84,2026-02-24
디아이티,110990,디스플레이장비및부품,13.19,27.05,2026-02-24
비나텍,126340,전기장비,7.85,2.86,2026-02-24
한미약품,128940,제약,0.0,12.77,2026-02-24
옵투스제약,131030,제약,-6.32,37.67,2026-02-24
티에스이,131290,반도체와반도체장비,5.86,4.18,2026-02-24
현대ADM,187660,제약,29.93,0.0,2026-02-24
HK이노엔,195940,제약,-1.04,29.02,2026-02-24
에이디테크놀로지,200710,반도체와반도체장비,6.67,9.58,2026-02-24
유투바이오,221800,건강관리업체및서비스,-19.31,31.02,2026-02-24
씨아이에스,222080,전기제품,17.56,31.39,2026-02-24
엠디바이스,226590,반도체와반도체장비,2.92,1.4,2026-02-24
슈프리마,236200,전자장비와기기,4.27,3.47,2026-02-24
DSC인베스트먼트,241520,창업투자,0.54,4.85,2026-02-24
에이플러스에셋,244920,손해보험,5.12,0.67,2026-02-24
샘씨엔에스,252990,반도체와반도체장비,7.96,3.33,2026-02-24
씨앤지하이테크,264660,반도체와반도체장비,5.49,1.63,2026-02-24
HD현대,267250,석유와가스,0.85,2.15,2026-02-24
디케이티,290550,핸드셋,4.17,35.34,2026-02-24
아이엘,307180,디스플레이장비및부품,-5.09,17.99,2026-02-24
셀비온,308430,제약,-21.37,26.78,2026-02-24
보로노이,310210,제약,1.07,3.73,2026-02-24
코스텍시스,355150,반도체와반도체장비,0.99,11.9,2026-02-24
풍원정밀,371950,디스플레이장비및부품,4.57,27.62,2026-02-24
씨엠티엑스,388210,반도체와반도체장비,10.34,1.2,2026-02-24
에이프릴바이오,397030,제약,-3.7,5.0,2026-02-24
SK스퀘어,402340,복합기업,6.38,2.68,2026-02-24
신한서부티엔디리츠,404990,부동산,1.77,25.47,2026-02-24
저스템,417840,반도체와반도체장비,22.96,5.36,2026-02-24
한국피아이엠,448900,자동차부품,15.96,1.59,2026-02-24
한화리츠,451800,부동산,2.91,5.27,2026-02-24
한화갤러리아,452260,백화점과일반상점,8.82,4.19,2026-02-24
엔알비,475230,건설,5.88,5.59,2026-02-24
한화비전,489790,통신장비,29.89,0.0,2026-02-24
리브스메드,491000,건강관리장비와용품,5.2,5.01,2026-02-24
