종목명,비고
가온전선,에상치없음
동아쏘시오홀딩스,
SK하이닉스,
현대건설,2025년2Q부터 증가 매출은 감소중
대한전선,
대상,
오리온홀딩스,
한국쉘석유,
디아이,
대원제약,
삼양식품,
한국화장품제조,
대한항공,
SNT다이내믹스,
보령,
농심,
빙그레,
동진쎄미켐,물려있는 종목
파미셀,
대원산업,
에스엘,
동원산업,
LS,
녹십자,
대원전선,
GS건설,
오뚜기,
이수페타시스,
삼성전기,
경동나비엔,
HD한국조선해양,
한화솔루션,
LS ELECTRIC,
삼성중공업,
HD현대미포,
현대모비스,
한화에어로스페이스,
더존비즈온,
HDC,
에스원,
오리엔탈정공,
한국전력,
현대엘리베이터,
풀무원,
한국카본,
브이티,
SK가스,
코웨이,
포스코DX, E는 없지만 나름 잘
태광,
다우기술,
한국캐피탈,
대한약품,
특수건설,
NICE평가정보,
피에스케이홀딩스,
롯데관광개발,
동성화인텍,
KT&G,
한국기업평가,
NAVER,
JYP Ent.,
SNT홀딩스,
감성코퍼레이션,
레드캡투어,
에스티아이,
에스엠,
인바디,
카페24,
한화오션,
한미반도체,
CJ프레시웨이,
제이브이엠,
리노공업,
메타바이오메드,
현대로템,
티씨케이,
SOOP,
하나마이크론,
셀트리온,
디지털대성,
HD현대마린엔진,
세진중공업,
LIG넥스원,
한화엔진,
비츠로셀,
비에이치아이,
아바코,
유진테크,
현대글로비스,
동국제약,
메디톡스,
브이엠,
티웨이항공,
네오팜,
칩스앤미디어,
ISC,
테스,
엠씨넥스,
마이크로컨텍솔,
고영,
동방선기,
SNT에너지,
월덱스,
씨큐브, 소형주
에스앤에스텍,
일진전기,
디와이피엔에프,
대양전기공업, 소형주
씨에스윈드,
GKL,
아이패밀리에스씨,
와이지엔터테인먼트,
제닉,
아나패스,
티에스이,
아셈스, 소형주
피엔티, 어닝서프 좋은데왜? 이차전지라서?
이마트,
파크시스템스,
리가켐바이오,
휴젤,
한국콜마,
하나머티리얼즈,
선익시스템,
코미코,
더블유게임즈,
쿠쿠홀딩스,
코스맥스,
HK이노엔,
알테오젠,
휴메딕스,
글로벌텍스프리,
삼성바이오로직스,
인카금융서비스,
네오오토, 소형주 자동차부품
덕산네오룩스,
클래시스,
아이쓰리시스템,
파마리서치,
오스테오닉,
LS에코에너지,
JW생명과학, 소형주
슈프리마,
에스티팜,
원익IPS ,
화승엔터프라이즈,
코스메카코리아,
바이오에프디엔씨, 소형주
펌텍코리아, 화장품 포장재
킵스파마,소형주 너무 올랐는데
실리콘투,
크래프톤,
에스앤디, 소형주 너무 올랐는데 불닭 소스
지니언스, 소형주
영화테크, 소형주 자동차 부품
HD현대일렉트릭,
오리온,
한화시스템,
에이피알,
레이크머티리얼즈,
케이씨텍,
씨에스베어링,
효성중공업,
마이크로디지탈, 소형주
현대오토에버,
오로스테크놀로지, 소형주 반도체
SK바이오팜,
HD현대중공업,
비올,
원텍,
젝시믹스, 소형주
티앤엘, 미용기기
하이브,
이지바이오, 소형주
SK스퀘어,
HPSP,
SAMG엔터,
HD현대마린엔진,
현대그린푸드,
이수스페셜티케미컬,
