종목명,종목코드,GLB5Y,GLB_P5Y
삼천당제약,000250,230000,0.4
우리금융지주,316140,27100,0.4
하나금융지주,086790,97100,0.7
삼성화재,000810,526000,0.8
GST,083450,30821,1.7
한국항공우주,047810,106500,2.6
피에스케이,319660,39100,2.8
하이젠알앤엠,160190,50900,2.8
엘앤씨바이오,290650,51866,3.3
대원산업,005710,12918,3.4
DB손해보험,005830,148300,3.6
코람코더원리츠,417310,6730,4.2
큐로셀,372320,43000,4.2
큐리언트,115180,25832,4.4
메리츠금융지주,138040,127400,5.6
가온전선,000500,83800,5.7
INVENI,015360,67800,6.3
태성,323280,43832,7.0
신영증권,001720,178600,7.1
다우기술,023590,44112,7.5
일승,333430,7150,7.7
미창석유,003650,121000,8.0
비츠로셀,082920,29900,8.3
맵스리얼티,094800,5490,8.7
리노공업,058470,61871,8.7
KISCO홀딩스,001940,29450,8.7
현대차,005380,299500,8.7
레인보우로보틱스,277810,429000,8.9
JB금융지주,175330,26250,9.1
켐트로닉스,089010,36850,9.2
BNK금융지주,138930,17155,9.8
심텍,222800,58300,10.0
현대그린푸드,453340,18550,10.0
한솔아이원스,114810,16596,10.1
필옵틱스,161580,53500,10.1
플리토,300080,19412,10.5
대신밸류리츠,0030R0,4960,10.6
우주일렉트로,065680,46000,11.0
기업은행,024110,23050,11.1
브이엠,089970,29000,11.5
신대양제지,016590,15800,11.9
SK가스,018670,300000,12.1
에프에스티,036810,41486,12.7
RF머트리얼즈,327260,20432,12.9
이엔에프테크놀로지,102710,53200,14.4
영원무역,111770,72200,14.8
한국타이어앤테크놀로지,161390,67800,14.9
한스바이오메드,042520,34750,15.1
하나마이크론,067310,29492,16.6
뉴로핏,380550,29400,16.7
한중엔시에스,107640,61800,16.8
인카금융서비스,211050,15320,17.1
케이씨,029460,31200,17.3
HD현대건설기계,267270,108895,17.3
한국기업평가,034950,118500,17.8
HD한국조선해양,009540,503261,18.1
메지온,140410,85985,18.1
삼영,003720,6500,18.8
에스앤에스텍,101490,63900,19.4
DB하이텍,000990,85400,19.4
iM금융지주,139130,17450,19.6
엠에스씨,009780,11600,19.7
링크솔루션,474650,37600,20.1
LG유플러스,032640,18700,20.3
월덱스,101160,31600,20.4
삼영엠텍,054540,18523,20.7
한양이엔지,045100,24700,20.8
하이록코리아,013030,41100,20.9
삼성FN리츠,448730,5532,21.6
엠디바이스,226590,18500,21.7
테크윙,089030,70800,22.3
한화,000880,113500,23.5
에이치엔에스하이텍,044990,22000,23.7
LS마린솔루션,060370,33800,23.8
SK하이닉스,000660,770479,24.9
