종목코드,종목명
021880,메이슨캐피탈
012700,리드코프
217330,싸이토젠
012600,청호ICT
188040,바이오포트
950220,네오이뮨텍
054180,메디콕스
424870,이뮨온시아
256940,킵스파마
078000,텔코웨어
027740,마니커
008490,서흥
489460,바이오비쥬
075580,세진중공업
213420,덕산네오룩스
066360,체리부로
431190,케이쓰리아이
072770,율호
483650,달바글로벌
287840,인투셀
006800,미래에셋증권
014970,삼륭물산
290670,대보마그네틱
001290,상상인증권
246960,SCL사이언스
044490,태웅
290120,DH오토리드
053450,세코닉스
025440,DH오토웨어
475430,키스트론
042940,상지건설
001270,부국증권
001800,오리온홀딩스
001720,신영증권
021820,세원정공
000140,하이트진로홀딩스
110790,크리스에프앤씨
052400,코나아이
294570,쿠콘
033340,좋은사람들
234340,헥토파이낸셜
004150,한솔홀딩스
123040,엠에스오토텍
474650,링크솔루션
053300,한국정보인증
009830,한화솔루션
900110,이스트아시아홀딩스
323230,엠에프엠코리아
072520,제넨바이오
340450,지씨지놈
043200,파루
052690,한전기술
034950,한국기업평가
000950,전방
103140,풍산
005810,풍산홀딩스
010580,에스엠벡셀
950190,고스트스튜디오
003280,흥아해운
010950,S-Oil
