종목명,종목코드
심텍,222800
인텍플러스,064290
삼성전자,005930
OCI홀딩스,010060
대덕전자,353200
S-Oil,010950
와이지-원,019210
SK,034730
삼아알미늄,006110
뉴파워프라즈마,144960
SK텔레콤,017670
팬오션,028670
케이씨텍,281820
삼성SDI,006400
LG생활건강,051900
PS일렉트로닉스,332570
한올바이오파마,009420
예스티,122640
LG,003550
하나마이크론,067310
테크윙,089030
효성티앤씨,298020
SK네트웍스,001740
엠케이전자,033160
두산테스나,131970
엘앤에프,066970
솔브레인,357780
서울반도체,046890
서진시스템,178320
LS,006260
네패스아크,330860
원익QnC,074600
덕산하이메탈,077360
자화전자,033240
OCI,456040
제이앤티씨,204270
롯데쇼핑,023530
해성디에스,195870
미래에셋증권,006800
한화시스템,272210
엘앤씨바이오,290650
더블유씨피,393890
대한전선,001440
레인보우로보틱스,277810
두산퓨얼셀,336260
한중엔시에스,107640
동화기업,025900
코스모신소재,005070
네오셈,253590
인텔리안테크,189300
마키나락스,477850
비나텍,126340
성일하이텍,365340
