종목코드,종목명,GLB,GLB_P,Date
067290,JW신약,3433.0,0.09,2026-09-03
192820,코스맥스,287000.0,1.77,2026-09-03
010950,S-Oil,177100.0,19.74,2026-09-03
088350,한화생명,7560.0,23.73,2026-09-03
204610,티쓰리,3795.0,17.31,2026-09-03
073240,금호타이어,8360.0,17.42,2026-09-03
036800,나이스정보통신,7270.0,0.97,2026-09-03
278470,에이피알,473000.0,16.5,2026-09-03
236200,슈프리마,57000.0,7.55,2026-09-03
138040,메리츠금융지주,149800.0,9.42,2026-09-03
003490,대한항공,29750.0,2.06,2026-09-03
028670,팬오션,6870.0,15.66,2026-09-03
007070,GS리테일,29950.0,16.76,2026-09-03
096530,씨젠,36650.0,16.16,2026-09-03
021240,코웨이,114700.0,16.8,2026-09-03
