종목명,종목코드,Market,Date
수젠텍,253840,KOSDAQ,2025-08-13
TP,007980,KOSPI,2025-08-14
제이에스티나,026040,KOSDAQ,2025-08-14
프로이천,321260,KOSDAQ,2025-08-14
모비데이즈,363260,KOSDAQ,2025-08-14
탑코미디어,134580,KOSDAQ,2025-08-18
SM C&C,048550,KOSDAQ,2025-08-19
팬엔터테인먼트,068050,KOSDAQ,2025-08-19
삼화네트웍스,046390,KOSDAQ,2025-08-20
누보,332290,KOSDAQ,2025-08-20
아이비젼웍스,469750,KOSDAQ,2025-08-20
나노엔텍,039860,KOSDAQ,2025-08-21
케이씨티,089150,KOSDAQ,2025-08-22
하이스틸,071090,KOSPI,2025-08-26
범한퓨얼셀,382900,KOSDAQ,2025-08-27
모나미,005360,KOSPI,2025-08-27
러셀,217500,KOSDAQ,2025-08-28
피델릭스,032580,KOSDAQ,2025-08-28
청담글로벌,362320,KOSDAQ,2025-08-29
모비스,250060,KOSDAQ,2025-08-29
뉴키즈온,462310,KOSDAQ,2025-08-29
케이엔알시스템,199430,KOSDAQ,2025-09-01
에스엠코어,007820,KOSDAQ,2025-09-01
서남,294630,KOSDAQ,2025-09-01
태웅로직스,124560,KOSDAQ,2025-09-02
고바이오랩,348150,KOSDAQ,2025-09-02
아진엑스텍,059120,KOSDAQ,2025-09-03
에이럭스,475580,KOSDAQ,2025-09-04
금강공업,014280,KOSPI,2025-09-09
대한광통신,010170,KOSDAQ,2025-09-10
싸이버원,356890,KOSDAQ,2025-09-10
퍼스텍,010820,KOSPI,2025-09-11
한선엔지니어링,452280,KOSDAQ,2025-09-11
한진중공업홀딩스,003480,KOSPI,2025-09-11
엠디바이스,226590,KOSDAQ,2025-09-12
텔콘RF제약,200230,KOSDAQ,2025-09-15
KBI메탈,024840,KOSDAQ,2025-09-15
KTcs,058850,KOSPI,2025-09-17
노랑풍선,104620,KOSDAQ,2025-09-17
와이즈버즈,273060,KOSDAQ,2025-09-17
애드포러스,397810,KOSDAQ,2025-09-17
한국첨단소재,062970,KOSDAQ,2025-09-19
폴라리스AI,039980,KOSDAQ,2025-09-23
일신석재,007110,KOSPI,2025-09-23
폴라리스AI파마,041910,KOSDAQ,2025-09-24
이랜시스,264850,KOSDAQ,2025-09-25
에이아이코리아,364950,KOSDAQ,2025-09-25
라닉스,317120,KOSDAQ,2025-09-25
공구우먼,366030,KOSDAQ,2025-09-26
LK삼양,225190,KOSDAQ,2025-09-26
엔비티,236810,KOSDAQ,2025-09-26
일동홀딩스,000230,KOSPI,2025-09-29
대진첨단소재,393970,KOSDAQ,2025-09-29
씨싸이트,109670,KOSDAQ,2025-09-29
우리바이오,082850,KOSDAQ,2025-09-30
화일약품,061250,KOSDAQ,2025-09-30
데이타솔루션,263800,KOSDAQ,2025-10-01
파이오링크,170790,KOSDAQ,2025-10-01
퓨릿,445180,KOSDAQ,2025-10-02
에이엘티,172670,KOSDAQ,2025-10-02
원익,032940,KOSDAQ,2025-10-10
하이드로리튬,101670,KOSDAQ,2025-10-13
우림피티에스,101170,KOSDAQ,2025-10-13
유니온,000910,KOSPI,2025-10-13
케이지에이,455180,KOSDAQ,2025-10-13
