종목코드,종목명,Market,WICS,Change
389470,인벤티지랩,KQ,제약,29.92
127120,제이에스링크,KQ,생명과학도구및서비스,6.71
260970,에스앤디,KQ,식품,1.66
008500,일정실업,KOSPI,자동차부품,30.0
214450,파마리서치,KQ,건강관리장비와용품,3.45
329180,HD현대중공업,KOSPI,조선,1.62
003230,삼양식품,KOSPI,식품,1.86
484870,엠앤씨솔루션,KOSPI,우주항공과국방,4.02
347850,디앤디파마텍,KQ,생물공학,11.87
348080,큐라티스,KQ,생물공학,23.1
012630,HDC,KOSPI,건설,-0.26
016880,웅진,KOSPI,복합기업,20.97
036630,세종텔레콤,KQ,다각화된통신서비스,10.51
211050,인카금융서비스,KQ,손해보험,2.42
041510,에스엠,KQ,방송과엔터테인먼트,2.91
069460,대호에이엘,KOSPI,비철금속,1.44
027830,대성창투,KQ,창업투자,8.85
006920,모헨즈,KQ,건축자재,10.66
145020,휴젤,KQ,생물공학,1.78
010620,HD현대미포,KOSPI,조선,3.24
017800,현대엘리베이터,KOSPI,기계,1.49
122870,와이지엔터테인먼트,KQ,방송과엔터테인먼트,0.89
204620,글로벌텍스프리,KQ,기타금융,-0.54
078860,엔에스이엔엠,KQ,방송과엔터테인먼트,-0.73
079550,LIG넥스원,KOSPI,우주항공과국방,2.96
009540,HD한국조선해양,KOSPI,조선,2.02
064090,인크레더블버즈,KQ,판매업체,2.4
006800,미래에셋증권,KOSPI,증권,1.01
065660,안트로젠,KQ,제약,-0.88
182360,큐브엔터,KQ,방송과엔터테인먼트,1.12
310200,애니플러스,KQ,방송과엔터테인먼트,-0.65
257720,실리콘투,KQ,인터넷과카탈로그소매,3.36
473980,노머스,KQ,방송과엔터테인먼트,-4.15
050120,ES큐브,KQ,레저용장비와제품,0.19
005710,대원산업,KQ,자동차부품,3.76
253450,스튜디오드래곤,KQ,방송과엔터테인먼트,1.95
214260,라파스,KQ,화장품,15.04
194700,노바렉스,KQ,제약,10.39
003920,남양유업,KOSPI,식품,3.02
035810,이지홀딩스,KQ,식품,2.77
016610,DB증권,KOSPI,증권,0.31
000720,현대건설,KOSPI,건설,-1.92
352820,하이브,KOSPI,방송과엔터테인먼트,-0.94
052330,코텍,KQ,디스플레이패널,-0.62
069510,에스텍,KQ,전자장비와기기,2.13
030200,KT,KOSPI,다각화된통신서비스,3.28
001720,신영증권,KOSPI,증권,6.16
222040,코스맥스엔비티,KQ,제약,1.67
011690,와이투솔루션,KOSPI,디스플레이장비및부품,15.6
095660,네오위즈,KQ,게임엔터테인먼트,1.71
003350,한국화장품제조,KOSPI,화장품,-0.36
032350,롯데관광개발,KOSPI,"호텔,레스토랑,레저",0.18
032640,LG유플러스,KOSPI,무선통신서비스,1.41
001800,오리온홀딩스,KOSPI,식품,1.37
015760,한국전력,KOSPI,전기유틸리티,-0.19
016360,삼성증권,KOSPI,증권,0.77
072950,빛샘전자,KQ,전자장비와기기,3.36
093190,빅솔론,KQ,컴퓨터와주변기기,-4.58
000320,노루홀딩스,KOSPI,건축자재,0.46
046310,백금T&A,KQ,전자장비와기기,3.14
009680,모토닉,KOSPI,자동차부품,3.55
316140,우리금융지주,KOSPI,은행,0.06
002960,한국쉘석유,KOSPI,석유와가스,-2.02
215200,메가스터디교육,KQ,교육서비스,5.39
029530,신도리코,KOSPI,사무용전자제품,2.2
039840,디오,KQ,건강관리장비와용품,1.18
131180,딜리,KQ,컴퓨터와주변기기,1.56
122990,와이솔,KQ,핸드셋,0.73
321550,티움바이오,KQ,제약,0.78
111110,호전실업,KOSPI,"섬유,의류,신발,호화품",0.97
134790,시디즈,KOSPI,가구,5.07
067370,선바이오,KQ,생물공학,1.84
036640,HRS,KQ,화학,2.12
028100,동아지질,KOSPI,건설,-0.14
001750,한양증권,KOSPI,증권,1.12
021880,메이슨캐피탈,KQ,기타금융,1.28
003460,유화증권,KOSPI,증권,-0.41
023760,한국캐피탈,KQ,기타금융,1.72
003540,대신증권,KOSPI,증권,-0.06
058860,KTis,KOSPI,상업서비스와공급품,13.31
002810,삼영무역,KOSPI,화학,0.59
328380,솔트웨어,KQ,IT서비스,1.89
005680,삼영전자,KOSPI,전기제품,0.19
034830,한국토지신탁,KOSPI,부동산,1.42
003200,일신방직,KOSPI,"섬유,의류,신발,호화품",0.0
054930,유신,KQ,건설,4.64
018470,조일알미늄,KOSPI,비철금속,2.76
004890,동일산업,KOSPI,철강,-0.47
036030,케이티알파,KQ,인터넷과카탈로그소매,0.0
006910,보성파워텍,KQ,전기장비,1.53
005960,동부건설,KOSPI,건설,1.09
226320,잇츠한불,KOSPI,화장품,1.06
360350,코셈,KQ,전자장비와기기,-0.11
030720,동원수산,KOSPI,식품,5.66
006980,우성,KOSPI,식품,0.06
001770,SHD,KOSPI,철강,0.63
016710,대성홀딩스,KOSPI,가스유틸리티,1.89
002690,동일제강,KOSPI,철강,0.22
275630,에스에스알,KQ,소프트웨어,0.96
002920,유성기업,KOSPI,자동차부품,0.0
