종목코드,종목명,Market,WICS,Change
389470,인벤티지랩,KQ,제약,29.92
127120,제이에스링크,KQ,생명과학도구및서비스,6.71
260970,에스앤디,KQ,식품,1.66
008500,일정실업,KOSPI,자동차부품,30.0
214450,파마리서치,KQ,건강관리장비와용품,3.45
329180,HD현대중공업,KOSPI,조선,1.62
003230,삼양식품,KOSPI,식품,1.86
484870,엠앤씨솔루션,KOSPI,우주항공과국방,4.02
347850,디앤디파마텍,KQ,생물공학,11.87
348080,큐라티스,KQ,생물공학,23.1
012630,HDC,KOSPI,건설,-0.26
016880,웅진,KOSPI,복합기업,20.97
036630,세종텔레콤,KQ,다각화된통신서비스,10.51
211050,인카금융서비스,KQ,손해보험,2.42
041510,에스엠,KQ,방송과엔터테인먼트,2.91
069460,대호에이엘,KOSPI,비철금속,1.44
027830,대성창투,KQ,창업투자,8.85
006920,모헨즈,KQ,건축자재,10.66
145020,휴젤,KQ,생물공학,1.78
010620,HD현대미포,KOSPI,조선,3.24
017800,현대엘리베이터,KOSPI,기계,1.49
122870,와이지엔터테인먼트,KQ,방송과엔터테인먼트,0.89
204620,글로벌텍스프리,KQ,기타금융,-0.54
078860,엔에스이엔엠,KQ,방송과엔터테인먼트,-0.73
079550,LIG넥스원,KOSPI,우주항공과국방,2.96
009540,HD한국조선해양,KOSPI,조선,2.02
006800,미래에셋증권,KOSPI,증권,1.01
065660,안트로젠,KQ,제약,-0.88
182360,큐브엔터,KQ,방송과엔터테인먼트,1.12
310200,애니플러스,KQ,방송과엔터테인먼트,-0.65
473980,노머스,KQ,방송과엔터테인먼트,-4.15
050120,ES큐브,KQ,레저용장비와제품,0.19
005710,대원산업,KQ,자동차부품,3.76
253450,스튜디오드래곤,KQ,방송과엔터테인먼트,1.95
003920,남양유업,KOSPI,식품,3.02
035810,이지홀딩스,KQ,식품,2.77
016610,DB증권,KOSPI,증권,0.31
000720,현대건설,KOSPI,건설,-1.92
352820,하이브,KOSPI,방송과엔터테인먼트,-0.94
052330,코텍,KQ,디스플레이패널,-0.62
069510,에스텍,KQ,전자장비와기기,2.13
030200,KT,KOSPI,다각화된통신서비스,3.28
001720,신영증권,KOSPI,증권,6.16
032350,롯데관광개발,KOSPI,"호텔,레스토랑,레저",0.18
032640,LG유플러스,KOSPI,무선통신서비스,1.41
001800,오리온홀딩스,KOSPI,식품,1.37
015760,한국전력,KOSPI,전기유틸리티,-0.19
016360,삼성증권,KOSPI,증권,0.77
000320,노루홀딩스,KOSPI,건축자재,0.46
009680,모토닉,KOSPI,자동차부품,3.55
316140,우리금융지주,KOSPI,은행,0.06
002960,한국쉘석유,KOSPI,석유와가스,-2.02
029530,신도리코,KOSPI,사무용전자제품,2.2
003460,유화증권,KOSPI,증권,-0.41
003540,대신증권,KOSPI,증권,-0.06
058860,KTis,KOSPI,상업서비스와공급품,13.31
