종목코드,종목명,Market,WICS,Change
011690,와이투솔루션,KOSPI,디스플레이장비및부품,15.6
119500,포메탈,KQ,기계,29.93
183300,코미코,KQ,반도체와반도체장비,0.85
072770,율호,KQ,IT서비스,4.85
320000,한울반도체,KQ,전자장비와기기,4.22
356860,티엘비,KQ,반도체와반도체장비,2.51
194480,데브시스터즈,KQ,게임엔터테인먼트,1.89
389030,지니너스,KQ,생물공학,9.3
321550,티움바이오,KQ,제약,0.78
328130,루닛,KQ,건강관리기술,2.32
099320,쎄트렉아이,KQ,우주항공과국방,4.99
090850,현대이지웰,KQ,상업서비스와공급품,4.14
265740,엔에프씨,KQ,화장품,10.54
011320,유니크,KQ,자동차부품,4.87
424980,마이크로투나노,KQ,반도체와반도체장비,15.9
064240,홈캐스트,KQ,전자제품,2.96
109740,디에스케이,KQ,디스플레이장비및부품,3.41
134060,이퓨쳐,KQ,교육서비스,3.19
058860,KTis,KOSPI,상업서비스와공급품,13.31
002680,한탑,KQ,식품,0.52
190510,나무가,KQ,핸드셋,1.09
023910,대한약품,KQ,제약,1.89
408920,메쎄이상,KQ,양방향미디어와서비스,2.3
080010,이상네트웍스,KQ,다각화된소비자서비스,0.56
234300,에스트래픽,KQ,IT서비스,1.27
091590,남화토건,KQ,건설,2.11
024740,한일단조,KQ,자동차부품,0.89
446070,유니드비티플러스,KOSPI,화학,1.17
234690,녹십자웰빙,KQ,제약,20.05
036890,진성티이씨,KQ,기계,1.55
054930,유신,KQ,건설,4.64
189330,씨이랩,KQ,IT서비스,2.99
018470,조일알미늄,KOSPI,비철금속,2.76
049720,고려신용정보,KQ,상업서비스와공급품,1.2
037560,LG헬로비전,KOSPI,방송과엔터테인먼트,6.46
131220,대한과학,KQ,생명과학도구및서비스,1.75
194370,제이에스코퍼레이션,KOSPI,"섬유,의류,신발,호화품",4.02
103590,일진전기,KOSPI,전기장비,4.76
000220,유유제약,KOSPI,제약,1.62
226320,잇츠한불,KOSPI,화장품,1.06
009770,삼정펄프,KOSPI,가정용품,0.38
007570,일양약품,KOSPI,제약,0.98
000490,대동,KOSPI,기계,0.68
004430,송원산업,KOSPI,화학,6.3
