종목명,기타
한화,지주사
SK,지주사
코오롱,지주사
두산,지주사
원익,지주사
KB금융,금융/보험
하나금융지주,금융/보험
삼성생명,금융/보험
미래에셋증권,증권
부국증권,증권
코나아이,지역화폐
웹캐시,지역화폐
유라클,지역화폐
케이씨티,스테이블코인
한국정보인증,스테이블코인
시선AI,AI소프트웨어
마음AI,AI소프트웨어
솔트룩스,,AI소프트웨어
코난테크놀로지,AI소프트웨어
MDS테크,GPU/반도체
제이씨현시스템,GPU/반도체
나오로보틱스,로봇
원익홀딩스,로봇
토마토시스템,의료AI
두산에너빌리티,원전
태웅,원전
현대건설,원전
세명전기,전력/신재생
제룡전기,전력/신재생
HD현대에너지솔루션,전력/신재생
SDN,태양광/풍력
유니슨,태양광/풍력
에스퓨얼셀,수소/탄소
그린케미칼,수소/탄소
에어레인,수소/탄소
꿈비,저출산
에르코스,저출산
데이원컴퍼니,일자리
플랜티넷,일자리
윌비스,일자리
인성정보,비대면진료
비트컴퓨터,비대면진료
미스터블루,K웹툰/콘텐츠
핑거스토리,K웹툰/콘텐츠
실리콘투,K뷰티
에이피알,K뷰티
달바글로벌,K뷰티
JW신약,탈모
위더스제약,탈모
