종목명,종목코드,WICS,Change,Date
가온전선,000500,전기장비,3.05,2026-04-21
삼성전기,009150,전자장비와기기,13.53,2026-04-21
퍼스텍,010820,우주항공과국방,-8.22,2026-04-21
대우건설,047040,건설,16.9,2026-04-21
미코,059090,반도체와반도체장비,-6.65,2026-04-21
산일전기,062040,전기장비,-0.24,2026-04-21
STX엔진,077970,조선,9.31,2026-04-21
한화엔진,082740,조선,11.6,2026-04-21
코세스,089890,반도체와반도체장비,0.43,2026-04-21
비에이치,090460,전자장비와기기,2.42,2026-04-21
케이씨에스,115500,IT서비스,-6.06,2026-04-21
파인텍,131760,디스플레이장비및부품,29.69,2026-04-21
SGA솔루션즈,184230,소프트웨어,11.66,2026-04-21
드림시큐리티,203650,상업서비스와공급품,-2.06,2026-04-21
샘씨엔에스,252990,반도체와반도체장비,-0.6,2026-04-21
SK스퀘어,402340,복합기업,2.43,2026-04-21
그린리소스,402490,반도체와반도체장비,12.35,2026-04-21
이수스페셜티케미컬,457190,화학,13.8,2026-04-21
