종목명,종목코드,WICS,Change,Date
SK하이닉스,000660,반도체와반도체장비,11.51,2026-05-11
로보스타,090360,기계,-3.5999999046325684,2026-05-18
우리넷,115440,통신장비,3.6,2026-05-11
뉴파워프라즈마,144960,반도체와반도체장비,-0.4699999988079071,2026-05-18
신세계,004170,백화점과일반상점,-7.019999980926514,2026-05-18
SK네트웍스,001740,복합기업,-5.389999866485596,2026-05-18
이노인스트루먼트,215790,통신장비,-9.640000343322754,2026-05-18
SKC,011790,화학,-2.25,2026-05-11
삼지전자,037460,통신장비,13.600000381469727,2026-05-18
머큐리,100590,통신장비,16.17,2026-05-11
동양고속,084670,도로와철도운송,-22.950000762939453,2026-05-18
HB테크놀러지,078150,디스플레이장비및부품,2.8,2026-05-11
오이솔루션,138080,통신장비,-2.81,2026-05-11
코오롱티슈진,950160,생물공학,3.99,2026-05-11
테스,095610,반도체와반도체장비,-1.690000057220459,2026-05-18
제주반도체,080220,반도체와반도체장비,12.520000457763672,2026-05-18
유안타증권,003470,증권,-4.6,2026-05-11
KBI메탈,024840,전기장비,7.31,2026-05-11
성문전자,014910,전기제품,-17.950000762939453,2026-05-18
씨젠,096530,생명과학도구및서비스,-3.5399999618530273,2026-05-18
SK,034730,석유와가스,3.82,2026-05-11
대한광통신,010170,통신장비,25.06,2026-05-11
대한전선,001440,전기장비,-2.49,2026-05-11
SK스퀘어,402340,복합기업,8.11,2026-05-11
미래반도체,254490,반도체와반도체장비,29.98,2026-05-11
삼성증권,016360,증권,-1.46,2026-05-11
두산퓨얼셀,336260,전기제품,12.05,2026-05-11
이랜시스,264850,전자장비와기기,8.32,2026-05-11
서희건설,035890,건설,-5.03,2026-05-11
한솔테크닉스,004710,전자장비와기기,29.96,2026-05-11
에스에이엠티,031330,전자장비와기기,30.0,2026-05-18
드림씨아이에스,223250,제약,0.14,2026-05-11
한국피아이엠,448900,자동차부품,-6.32,2026-05-11
두산로보틱스,454910,기계,-7.460000038146973,2026-05-18
빛샘전자,072950,전자장비와기기,10.5,2026-05-11
드림시큐리티,203650,상업서비스와공급품,3.69,2026-05-11
피노,033790,전기제품,-14.23,2026-05-11
LG전자,066570,전자제품,-9.770000457763672,2026-05-18
삼성물산,028260,복합기업,6.98,2026-05-11
아진엑스텍,059120,반도체와반도체장비,3.78,2026-05-11
라온텍,418420,반도체와반도체장비,-8.270000457763672,2026-05-18
차백신연구소,261780,제약,-20.020000457763672,2026-05-18
레이저쎌,412350,반도체와반도체장비,23.399999618530273,2026-05-18
심텍,222800,전자장비와기기,-1.47,2026-05-11
한선엔지니어링,452280,기계,-3.630000114440918,2026-05-18
티이엠씨,425040,반도체와반도체장비,6.79,2026-05-11
가온전선,000500,전기장비,0.0,2026-05-11
서전기전,189860,전기장비,-3.83,2026-05-11
PS일렉트로닉스,332570,핸드셋,3.8,2026-05-11
젠큐릭스,229000,건강관리장비와용품,0.0,2026-05-11
천일고속,000650,도로와철도운송,-21.479999542236328,2026-05-18
TPC로보틱스,048770,기계,-6.210000038146973,2026-05-18
프로이천,321260,디스플레이장비및부품,15.16,2026-05-11
현대오토에버,307950,IT서비스,7.26,2026-05-11
서울바이오시스,092190,디스플레이장비및부품,0.0,2026-05-11
에치에프알,230240,통신장비,-3.15,2026-05-11
에이치엠넥스,036170,디스플레이장비및부품,-2.39,2026-05-11
파워넷,037030,전기제품,-0.37,2026-05-11
해성옵틱스,076610,핸드셋,-11.67,2026-05-11
피델릭스,032580,반도체와반도체장비,10.609999656677246,2026-05-18
